Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0603_1608Metric",34.875000,26.500000,90.000000,top
"C2","1uF","C_0603_1608Metric",36.350000,26.500000,90.000000,top
"C3","10uF","C_0603_1608Metric",33.300000,8.675000,-90.000000,top
"C4","100nF","C_0402_1005Metric",34.725000,15.650000,0.000000,top
"C5","100nF","C_0402_1005Metric",34.825000,18.125000,0.000000,top
"C6","100nF","C_0402_1005Metric",30.150000,28.850000,0.000000,top
"C7","100nF","C_0402_1005Metric",16.950000,28.950000,90.000000,top
"C8","100nF","C_0402_1005Metric",14.850000,12.650000,-90.000000,top
"C9","100nF","C_0402_1005Metric",31.700000,9.000000,-90.000000,top
"C10","100nF","C_0402_1005Metric",13.850000,12.650000,-90.000000,top
"C11","100nF","C_0402_1005Metric",41.750000,22.250000,180.000000,top
"C12","10uF","C_0603_1608Metric",36.950000,22.050000,0.000000,top
"C13","100nF","C_0402_1005Metric",36.720000,23.450000,0.000000,top
"C14","100nF","C_0402_1005Metric",34.150000,6.200000,90.000000,top
"C15","1uF","C_0603_1608Metric",12.000000,29.500000,-90.000000,top
"C16","100nF","C_0402_1005Metric",10.400000,31.335000,90.000000,top
"C17","1uF","C_0603_1608Metric",6.750000,28.295000,-90.000000,top
"C18","100nF","C_0402_1005Metric",8.450000,31.335000,90.000000,top
"C19","16pF","C_0402_1005Metric",38.420000,17.500000,0.000000,top
"C20","16pF","C_0402_1005Metric",40.850000,19.500000,-90.000000,top
"C21","19pF","C_0402_1005Metric",40.700000,14.300000,-90.000000,top
"C22","19pF","C_0402_1005Metric",40.700000,16.300000,90.000000,top
"C23","4.7uF","C_0603_1608Metric",17.750000,30.700000,180.000000,top
"D1","LED","LED_0402_1005Metric",13.450000,29.600000,90.000000,top
"D2","USBLC6-4SC6","SOT23-6L_STM",7.700000,10.165250,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1.5mm",2.000000,34.025000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",5.650000,3.400000,180.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1.5mm",46.500000,31.625000,0.000000,top
"J2","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",2.475000,5.300000,-90.000000,top
"J3","PINHD_1x19","Castellated_PinHeader_1x19_P1.27mm",23.665000,2.490000,0.000000,top
"J4","PINHD_1x19","Castellated_PinHeader_1x19_P1.27mm",46.760000,17.235000,90.000000,top
"J5","Castellated_PINHD_1x20","Castellated_PinHeader_1x20_P1.27mm",2.475000,19.290000,-90.000000,top
"J6","Castellated_PINHD_1x20","Castellated_PinHeader_1x20_P1.27mm",30.575000,33.210000,180.000000,top
"J7","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",37.705000,2.525000,0.000000,top
"J8","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",39.170000,2.512500,0.000000,top
"J9","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",40.645000,2.512500,0.000000,top
"J10","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",9.880000,2.500000,0.000000,top
"J11","PINHD_1x1","Castellated_PinHeader_1x1_P1.27mm",8.425000,2.490000,0.000000,top
"R1","220R","R_0402_1005Metric",35.275000,6.200000,90.000000,top
"R2","10k","R_0402_1005Metric",33.100000,6.200000,-90.000000,top
"R3","1k5","R_0402_1005Metric",12.200000,27.500000,0.000000,top
"SW1","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",41.150000,25.869200,-90.000000,top
"SW2","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",37.891500,9.730800,90.000000,top
"U1","LD39050PU33R","SON95P300X300X100-7N",9.450000,27.985000,90.000000,top
"U2","STM32U575VGT6","LQFP-100_14x14mm_P0.5mm",24.650000,19.150000,180.000000,top
"X1","48Mhz","Crystal_SMD_2016-4Pin_2.0x1.6mm",38.600000,19.450000,0.000000,top
"X2","32khz","Crystal_SMD_2012-2Pin_2.0x1.2mm",42.150000,15.550000,-90.000000,top
